title,rating,ratingDescription,release year,user rating score
The Cleveland Show,TV-14,90,2012,88
Absolutely Fabulous,TV-14,90,2012,59
Don't Trust the B---- in Apartment 23,TV-14,90,2012,NA
Raising Hope,TV-14,90,2013,73
Come Fly With Me,TV-14,90,2010,NA
Orange Is the New Black,TV-MA,110,2016,98
Brickleberry,TV-MA,110,2014,63
Bates Motel,TV-14,90,2016,83
BoJack Horseman,TV-MA,110,2016,NA
Being Mary Jane: The Series,TV-14,90,2016,NA
Documentary Now!,TV-14,90,2016,NA
Grace and Frankie,TV-MA,110,2017,90
Unbreakable Kimmy Schmidt,TV-14,90,2016,NA
The Get Down,TV-MA,110,2017,80
Love,TV-MA,110,2017,NA
Bordertown,TV-14,90,2016,86
Jane The Virgin,TV-14,90,2016,91
Schitt's Creek,TV-14,90,2016,74
Dope,R,100,2015,79
Lovesick,TV-MA,110,2016,NA
The Carmichael Show,TV-14,90,2016,69
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,NA
The Great British Baking Show,TV-PG,70,2016,94
November Rule,TV-14,90,2015,NA
Life in Pieces,TV-14,90,2015,68
Crazy Ex-Girlfriend,TV-14,90,2017,NA
Easy,TV-MA,110,2016,NA
Haters Back Off,TV-14,90,2016,58
Kubo and the Two Strings,PG,60,2016,96
Skins,TV-MA,110,2017,NA
A Weekend with the Family,TV-MA,110,2016,NA
Crazyhead,TV-MA,110,2016,NA
Queen of Katwe,PG,60,2016,NA
Little Boxes,TV-14,90,2016,61
Deidra & Laney Rob a Train,TV-14,90,2017,NA
Girlboss,TV-MA,110,2017,94
Hot Girls Wanted: Turned On,TV-MA,110,2017,NA
13 Reasons Why,TV-MA,110,2017,99
Hurricane Bianca,TV-MA,110,2016,NA
Honeytrap,NR,124,2014,NA
Greenleaf,TV-14,90,2016,62
Lazy Eye,TV-MA,110,2016,NA
Like Cotton Twines,NR,124,2016,NA
The Wedding Party,TV-14,90,2016,NA
Dave Chappelle,TV-MA,110,2017,94
Only for One Night,TV-MA,110,2016,78
Boy Bye,TV-MA,110,2016,NA
Almost Adults,NR,124,2016,NA
Nancy Drew,PG,60,2007,NA
30 Rock,TV-14,90,2012,66
Nurse Jackie,TV-MA,110,2015,82
Parks and Recreation,TV-14,90,2015,94
Drop Dead Diva,TV-PG,70,2014,NA
Gilmore Girls,TV-14,90,2006,91
Parenthood,TV-14,90,2014,79
Life Unexpected,TV-PG,70,2010,55
Portlandia,TV-14,90,2016,62
New Girl,TV-14,90,2016,91
Don't Trust the B---- in Apartment 23,TV-14,90,2012,NA
Raising Hope,TV-14,90,2013,73
Being Human (U.S.),TV-14,90,2014,58
Friends with Benefits,TV-14,90,2011,NA
The Carrie Diaries,TV-14,90,2013,NA
Baby Daddy,TV-14,90,2016,80
Halt and Catch Fire,TV-14,90,2016,NA
The Angriest Man in Brooklyn,R,100,2014,NA
5 to 7,R,100,2014,NA
Chef's Table,TV-MA,110,2017,NA
Grace and Frankie,TV-MA,110,2017,90
