title,rating,ratingDescription,release year,user rating score
The Jungle Book,PG,60,2016,97
Home: Adventures with Tip & Oh,TV-Y7,41,2017,NA
Open Season: Scared Silly,PG,60,2015,72
The Land Before Time XIV: Journey of the Brave,G,35,2016,NA
The Angry Birds Movie,PG,60,2016,92
Alice Through the Looking Glass,PG,60,2016,96
Finding Dory,PG,60,2016,98
The Secret Life of Pets,PG,60,2016,NA
Ask the StoryBots,TV-Y,10,2016,NA
The Furchester Hotel,TV-Y,10,2015,NA
Goldie & Bear,TV-Y,10,2016,77
Little Baby Bum: Nursery Rhyme Friends,TV-Y,10,2016,NA
Angry Birds,TV-G,35,2013,NA
Tayo the Little Bus,TV-Y,10,2014,NA
Talking Tom and Friends,TV-G,35,2016,61
The Little Rascals,PG,60,1994,86
Antz,PG,60,1998,80
Tarzan,G,35,1999,95
An Extremely Goofy Movie,G,35,1999,67
Chicken Run,G,35,2000,80
The Emperor's New Groove,G,35,2000,95
Lilo & Stitch,PG,60,2002,95
Spy Kids 3: Game Over,PG,60,2003,64
Annie,PG,60,1982,68
Mulan 2,G,35,2004,85
Chicken Little,G,35,2005,92
Lilo & Stitch 2: Stitch Has A Glitch,PG,60,2005,85
Teenage Mutant Ninja Turtles,PG,60,2007,NA
Bee Movie,PG,60,2007,94
Kung Fu Panda,PG,60,2008,91
Cars Toons: Mater's Tall Tales,TV-G,35,2010,74
Super Why!,TV-Y,10,2015,68
DreamWorks Shrek's Swamp Stories,TV-PG,70,2008,56
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,35,2012,NA
DreamWorks Spooky Stories: Volume 2,TV-PG,70,2011,NA
The Magic School Bus,TV-Y,10,1997,81
Goosebumps,TV-Y7,41,1998,88Sammy 2,TV-PG,70,2012,NA
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,35,2009,NA
Masha and the Bear,TV-Y,10,2013,81
Pocoyo,TV-Y,10,2007,67
Sofia the First,TV-Y,10,2015,82
Barbie Life in the Dreamhouse,TV-G,35,2012,85
Paddington,PG,60,2014,70
Larva,TV-G,35,2015,NA
Sid the Science Kid,TV-Y,10,2008,NA
Chuggington,TV-Y,10,2015,NA
All Hail King Julien,TV-Y7-FV,42,2016,71
Octonauts,TV-Y,10,2015,NA
Minions,PG,60,2015,96
Dragons: Race to the Edge,TV-Y7-FV,42,2017,88
Little Einsteins,TV-Y,10,2007,70
Hotel Transylvania 2,PG,60,2015,93
Dinotrux,TV-Y7-FV,42,2017,NA
The Little Prince,PG,60,2015,71
Word Party,TV-Y,10,2016,NA
Zootopia,PG,60,2016,97
The Jungle Book,PG,60,2016,97
Home: Adventures with Tip & Oh,TV-Y7,41,2017,NA
Open Season: Scared Silly,PG,60,2015,72
The Angry Birds Movie,PG,60,2016,92
Finding Dory,PG,60,2016,98
The Secret Life of Pets,PG,60,2016,NA
Goldie & Bear,TV-Y,10,2016,77
Talking Tom and Friends,TV-G,35,2016,61
Cool Runnings,PG,60,1993,81
Homeward Bound: The Incredible Journey,G,35,1993,96
The Little Rascals,PG,60,1994,86
Anastasia,G,35,1997,93
Tarzan,G,35,1999,95
The Emperor's New Groove,G,35,2000,95
Scooby-Doo,PG,60,2002,86
Lilo & Stitch,PG,60,2002,95
Missione Hamburger,PG,60,1997,75
Chicken Little,G,35,2005,92
Curious George,G,35,2006,55
Bee Movie,PG,60,2007,94
Kung Fu Panda,PG,60,2008,91
Coraline,PG,60,2009,95
Cars Toons: Mater's Tall Tales,TV-G,35,2010,74
Super Why!,TV-Y,10,2015,68
Jessie,TV-G,35,2015,88
Secret of the Wings,G,35,2012,65
The Magic School Bus,TV-Y,10,1997,81
Sammy 2,TV-PG,70,2012,NA
Masha and the Bear,TV-Y,10,2013,81
Sofia the First,TV-Y,10,2015,82
Barbie Life in the Dreamhouse,TV-G,35,2012,85
Clifford the Big Red Dog,TV-Y,10,2002,NA
Home,PG,60,2015,94
Paddington,PG,60,2014,70
Chuggington,TV-Y,10,2015,NA
Octonauts,TV-Y,10,2015,NA
Minions,PG,60,2015,96
Dragons: Race to the Edge,TV-Y7-FV,42,2017,88
Little Einsteins,TV-Y,10,2007,70
Hotel Transylvania 2,PG,60,2015,93
Dinotrux,TV-Y7-FV,42,2017,NA
Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,84
Kung Fu Panda 3,PG,60,2016,92
Bunk'd,TV-G,35,2016,61
Zootopia,PG,60,2016,97
The Jungle Book,PG,60,2016,97
Open Season: Scared Silly,PG,60,2015,72
The Land Before Time XIV: Journey of the Brave,G,35,2016,NA
The Angry Birds Movie,PG,60,2016,92
Alice Through the Looking Glass,PG,60,2016,96
The BFG,PG,60,2016,97
The Secret Life of Pets,PG,60,2016,NA
Pete's Dragon,PG,60,2016,93
Kubo and the Two Strings,PG,60,2016,96
Goldie & Bear,TV-Y,10,2016,77
Little Baby Bum: Nursery Rhyme Friends,TV-Y,10,2016,NA
Growing Up Wild,G,35,2016,80
The Real Ghostbusters,TV-Y7,41,1990,65
Cool Runnings,PG,60,1993,81
Anastasia,G,35,1997,93
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,NA
The Prince of Egypt,PG,60,1998,81
Paulie,PG,60,1998,NA
Tarzan,G,35,1999,95
The Road to El Dorado,PG,60,2000,91
Fantasia 2000,G,35,2000,NA
Pocahontas II: Journey to a New World,TV-G,35,1998,64
The Emperor's New Groove,G,35,2000,95
Fantasia,G,35,1940,61
An American Tail,G,35,1986,67
Pooh's Grand Adventure: The Search for Christopher Robin,G,35,1997,NA
FernGully 2: The Magical Rescue,G,35,1998,NA
Balto 2: Wolf Quest,G,35,2001,NA
Balto,G,35,1995,64
Back to the Secret Garden,G,35,2002,NA
The Brave Little Toaster Goes to Mars,G,35,1998,NA
The Brave Little Toaster to the Rescue,G,35,1997,NA
An American Tail: The Mystery of the Night Monster,G,35,1999,NA
An American Tail: Fievel Goes West,G,35,1991,NA
The Last Unicorn,G,35,1982,NA
The Iron Giant,PG,60,1999,83
Brother Bear 2,G,35,2006,57
The Fox and the Hound 2,G,35,2006,NA
The Smurfs and the Magic Flute,G,35,1976,NA
Jetsons: The Movie,G,35,1990,NA
We're Back! A Dinosaur's Story,G,35,1993,NA
A Monster in Paris,PG,60,2011,NA
The Gruffalo,TV-Y,10,2009,NA
DreamWorks How to Train Your Dragon Legends,TV-PG,70,2011,NA
Ernest & Celestine,PG,60,2012,NA
The Magic School Bus,TV-Y,10,1997,81
Animaniacs,TV-Y7,41,1997,72
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,35,2009,NA
PopPixie,TV-G,35,2011,NA
Jack and the Cuckoo-Clock Heart,PG,60,2013,NA
The Pirate Fairy,G,35,2014,57
Axel: The Biggest Little Hero,PG,60,2013,NA
The Adventures of Figaro Pho,TV-Y7,41,2015,NA
The Boxcar Children,G,35,2014,NA
Pet Pals in Windland,TV-G,35,2014,NA
Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,84
Alpha and Omega: Dino Digs,TV-G,35,2016,NA
Alice Through the Looking Glass,PG,60,2016,96
Quackerz,PG,60,2016,NA
Hatched,TV-Y7,41,2013,NA
Blinky Bill: The Movie,PG,60,2015,NA
The Real Ghostbusters,TV-Y7,41,1990,65
Flubber,PG,60,1997,83
Anastasia,G,35,1997,93
An Extremely Goofy Movie,G,35,1999,67
An American Tail,G,35,1986,67
Scooby-Doo,PG,60,2002,86
FernGully: The Last Rainforest,G,35,1992,70
Balto 2: Wolf Quest,G,35,2001,NA
Balto,G,35,1995,64
The Lizzie McGuire Movie,PG,60,2003,NA
The Brave Little Toaster Goes to Mars,G,35,1998,NA
The Brave Little Toaster to the Rescue,G,35,1997,NA
Recess: Taking the Fifth Grade,G,35,2003,NA
An American Tail: The Mystery of the Night Monster,G,35,1999,NA
An American Tail: Fievel Goes West,G,35,1991,NA
The Iron Giant,PG,60,1999,83
The Very Hungry Caterpillar and Other Stories,TV-Y,10,1993,NA
The Hero of Color City,G,35,2014,NA
Dino Squad,TV-Y7,41,2008,NA
The Little Engine That Could,G,35,2011,NA
Delhi Safari,PG,60,2012,NA
Ninja Turtles: The Next Mutation,TV-Y7-FV,42,1997,NA
Pound Puppies,TV-Y,10,2013,NA
Sammy 2,TV-PG,70,2012,NA
Monster Math Squad,TV-G,35,2012,NA
Care Bears: Welcome to Care-a-Lot,TV-Y,10,2012,NA
Clifford the Big Red Dog,TV-Y,10,2002,NA
Clifford's Puppy Days,TV-Y,10,2003,NA
Axel: The Biggest Little Hero,PG,60,2013,NA
Agent F.O.X.,PG,60,2014,NA
Dinosaur King,TV-Y7-FV,42,2008,NA
Ribbit,PG,60,2014,NA
Chuggington,TV-Y,10,2015,NA
Rooster Doodle-doo,TV-G,35,2014,NA
Octonauts,TV-Y,10,2015,NA
Kong: King of the Apes,TV-Y7-FV,42,2016,NA
My Animal Friends,TV-Y,10,2013,NA
Worms,PG,60,2013,NA
Puffin Rock,TV-Y,10,2016,NA
Little Einsteins,TV-Y,10,2007,70
Hotel Transylvania 2,PG,60,2015,93
Dinotrux,TV-Y7-FV,42,2017,NA
The Mr. Peabody and Sherman Show,TV-Y7,41,2017,NA
Zoobabu,TV-Y,10,2010,NA
Alpha and Omega: Dino Digs,TV-G,35,2016,NA
Gon,TV-G,35,2013,NA
Sid the Science Kid: The Movie,TV-Y,10,2012,NA
The Land Before Time XIV: Journey of the Brave,G,35,2016,NA
The Secret Life of Pets,PG,60,2016,NA
LEGO Jurassic World: The Indominus Escape,TV-Y7,41,2016,NA
The Real Ghostbusters,TV-Y7,41,1990,65
Cool Runnings,PG,60,1993,81
Anastasia,G,35,1997,93
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,NA
The Prince of Egypt,PG,60,1998,81
Paulie,PG,60,1998,NA
Tarzan,G,35,1999,95
The Road to El Dorado,PG,60,2000,91
Fantasia 2000,G,35,2000,NA
Pocahontas II: Journey to a New World,TV-G,35,1998,64
The Emperor's New Groove,G,35,2000,95
Fantasia,G,35,1940,61
An American Tail,G,35,1986,67
Pooh's Grand Adventure: The Search for Christopher Robin,G,35,1997,NA
FernGully 2: The Magical Rescue,G,35,1998,NA
Balto 2: Wolf Quest,G,35,2001,NA
Balto,G,35,1995,64
Back to the Secret Garden,G,35,2002,NA
The Brave Little Toaster Goes to Mars,G,35,1998,NA
The Brave Little Toaster to the Rescue,G,35,1997,NA
An American Tail: The Mystery of the Night Monster,G,35,1999,NA
An American Tail: Fievel Goes West,G,35,1991,NA
The Last Unicorn,G,35,1982,NA
The Iron Giant,PG,60,1999,83
Brother Bear 2,G,35,2006,57
The Fox and the Hound 2,G,35,2006,NA
The Smurfs and the Magic Flute,G,35,1976,NA
Jetsons: The Movie,G,35,1990,NA
We're Back! A Dinosaur's Story,G,35,1993,NA
A Monster in Paris,PG,60,2011,NA
The Gruffalo,TV-Y,10,2009,NA
DreamWorks How to Train Your Dragon Legends,TV-PG,70,2011,NA
Ernest & Celestine,PG,60,2012,NA
The Magic School Bus,TV-Y,10,1997,81
Animaniacs,TV-Y7,41,1997,72
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,35,2009,NA
PopPixie,TV-G,35,2011,NA
Jack and the Cuckoo-Clock Heart,PG,60,2013,NA
The Pirate Fairy,G,35,2014,57
Axel: The Biggest Little Hero,PG,60,2013,NA
The Adventures of Figaro Pho,TV-Y7,41,2015,NA
The Boxcar Children,G,35,2014,NA
Pet Pals in Windland,TV-G,35,2014,NA
Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,84
Alpha and Omega: Dino Digs,TV-G,35,2016,NA
Alice Through the Looking Glass,PG,60,2016,96
Quackerz,PG,60,2016,NA
Hatched,TV-Y7,41,2013,NA
Blinky Bill: The Movie,PG,60,2015,NA
The Real Ghostbusters,TV-Y7,41,1990,65
Cool Runnings,PG,60,1993,81
Homeward Bound: The Incredible Journey,G,35,1993,96
Anastasia,G,35,1997,93
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,NA
The Road to El Dorado,PG,60,2000,91
Fantasia 2000,G,35,2000,NA
Fantasia,G,35,1940,61
Harry and the Hendersons,PG,60,1987,58
Pooh's Grand Adventure: The Search for Christopher Robin,G,35,1997,NA
Cats & Dogs,PG,60,2001,NA
Atlantis: The Lost Empire,PG,60,2001,96
FernGully: The Last Rainforest,G,35,1992,70
Balto 2: Wolf Quest,G,35,2001,NA
Balto,G,35,1995,64
Back to the Secret Garden,G,35,2002,NA
Tarzan & Jane,G,35,2002,NA
Atlantis: Milo's Return,G,35,2003,79
The Brave Little Toaster Goes to Mars,G,35,1998,NA
The Brave Little Toaster to the Rescue,G,35,1997,NA
Annie,PG,60,1982,68
Recess: Taking the Fifth Grade,G,35,2003,NA
An American Tail: The Mystery of the Night Monster,G,35,1999,NA
Batched,G,35,2000,NA
An American Tail: Fievel Goes West,G,35,1991,NA
Winnie the Pooh: Springtime with Roo,G,35,2004,NA
The Last Unicorn,G,35,1982,NA
The Iron Giant,PG,60,1999,83
Mulan 2,G,35,2004,85
Pooh's Heffalump Movie,G,35,2005,NA
Kronk's New Groove,G,35,2005,NA
Corpse Bride,PG,60,2005,91
Brother Bear 2,G,35,2006,57
The Smurfs and the Magic Flute,G,35,1976,NA
Jetsons: The Movie,G,35,1990,NA
We're Back! A Dinosaur's Story,G,35,1993,NA
Ernest & Celestine,PG,60,2012,NA
Animaniacs,TV-Y7,41,1997,72
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,35,2009,NA
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,35,2009,NA
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,35,2009,NA
The Pirate Fairy,G,35,2014,57
Underdogs,PG,60,2013,NA
The Boxcar Children,G,35,2014,NA
Ribbit,PG,60,2014,NA
Yellowbird,PG,60,2014,NA
Octonauts,TV-Y,10,2015,NA
The Land Before Time XIV: Journey of the Brave,G,35,2016,NA
Quackerz,PG,60,2016,NA
Growing Up Wild,G,35,2016,80
Cool Runnings,PG,60,1993,81
Mr. Magoo,PG,60,1997,NA
Flubber,PG,60,1997,83
Anastasia,G,35,1997,93
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,NA
Paulie,PG,60,1998,NA
The Road to El Dorado,PG,60,2000,91
Air Bud: World Pup,G,35,2000,NA
An American Tail,G,35,1986,67
Harry and the Hendersons,PG,60,1987,58
Cats & Dogs,PG,60,2001,NA
Baby's Day Out,PG,60,1994,71
Balto 2: Wolf Quest,G,35,2001,NA
Balto,G,35,1995,64
Back to the Secret Garden,G,35,2002,NA
Blank Check,PG,60,1994,93
Heavyweights,PG,60,1995,74
Inspector Gadget 2,G,35,2003,NA
Air Bud: Spikes Back,G,35,2003,NA
Annie,PG,60,1982,68
An American Tail: Fievel Goes West,G,35,1991,NA
D2: The Mighty Ducks,PG,60,1994,70
"Honey, I Shrunk the Kids",PG,60,1989,80
The Iron Giant,PG,60,1999,83
The Fox and the Hound 2,G,35,2006,NA
Air Buddies,PG,60,2006,NA
Dr. Dolittle: Tail to the Chief,PG,60,2008,NA
Flicka 2,PG,60,2010,NA
H2O: Just Add Water,TV-PG,70,2009,74
The Gruffalo,TV-Y,10,2009,NA
Dolphin Tale,PG,60,2011,NA
Pound Puppies,TV-Y,10,2013,NA
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,35,2012,NA
The Magic School Bus,TV-Y,10,1997,81
Step Dogs,TV-PG,70,2013,NA
Pok̩mon: Indigo League,TV-Y,10,2000,74
Mia and Me,TV-Y,10,2015,NA
Paddington,PG,60,2014,70
Russell Madness,PG,60,2015,NA
My Animal Friends,TV-Y,10,2013,NA
Dawn of the Croods,TV-Y7,41,2017,72
Alpha and Omega: Dino Digs,TV-G,35,2016,NA
Wiener Dog Internationals,G,35,2015,NA
Pup Star,G,35,2016,NA
The BFG,PG,60,2016,97
The Secret Life of Pets,PG,60,2016,NA
Precious Puppies,TV-G,35,2003,NA
Beary Tales,TV-G,35,2013,NA
Growing Up Wild,G,35,2016,80
